City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Acarau,BR,82.92,light rain,-2.8856,-40.12,castelo pizzaria
6,Kayes,ML,87.84,clear sky,14.0,-11.0,
8,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
10,Inhambane,MZ,78.78,scattered clouds,-23.865,35.3833,Oceano
12,Constitucion,CL,71.51,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
13,Waingapu,ID,78.6,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
18,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
20,Ahuimanu,US,78.46,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
21,The Valley,AI,80.46,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
22,Cape Town,ZA,74.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
23,Huarmey,PE,76.98,few clouds,-10.0681,-78.1522,Hotel Miramar
25,Castro,BR,75.16,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
32,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
36,Ahipara,NZ,71.49,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
37,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
41,Adrar,MR,72.72,clear sky,20.5022,-10.0711,
45,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
53,Mitsamiouli,KM,81.55,overcast clouds,-11.3847,43.2844,Foyer ADM
54,Yaan,NG,84.24,clear sky,7.3833,8.5667,
57,Male,MV,81.41,clear sky,4.1748,73.5089,Hotel Octave Maldives
58,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
60,Eirunepe,BR,83.55,overcast clouds,-6.6603,-69.8736,Atrás de você
62,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
65,Kapaa,US,73.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Port Alfred,ZA,70.34,light rain,-33.5906,26.891,The Halyards Hotel
68,Makakilo City,US,75.61,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
70,Takoradi,GH,80.8,few clouds,4.8845,-1.7554,Raybow International Hotel
