City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Acarau,BR,-2.8856,-40.12,82.92,71,27,15.46,light rain
1,Asau,RO,46.4333,26.4,36.95,87,98,1.7,overcast clouds
2,Mezen,RU,65.8522,44.24,9.75,89,100,12.82,overcast clouds
3,Nanortalik,GL,60.1432,-45.2371,11.75,62,49,20.42,scattered clouds
4,Bonnyville,CA,54.2668,-110.735,14.18,89,100,9.84,overcast clouds
5,Saskylakh,RU,71.9167,114.0833,-25.74,100,98,3.2,overcast clouds
6,Kayes,ML,14.0,-11.0,87.84,7,0,8.14,clear sky
7,Harjavalta,FI,61.3167,22.1333,30.58,97,14,4.52,few clouds
8,Vaini,TO,-21.2,-175.2,77.16,94,100,8.05,light rain
9,Chokurdakh,RU,70.6333,147.9167,-30.15,100,100,1.52,overcast clouds
10,Inhambane,MZ,-23.865,35.3833,78.78,83,40,6.91,scattered clouds
11,Almaznyy,RU,48.0448,40.045,23.14,93,21,6.04,few clouds
12,Constitucion,CL,-35.3333,-72.4167,71.51,55,7,17.07,clear sky
13,Waingapu,ID,-9.6567,120.2641,78.6,88,100,7.11,overcast clouds
14,Sturgeon Bay,US,44.8342,-87.377,16.16,57,100,11.5,overcast clouds
15,Tiksi,RU,71.6872,128.8694,-22.4,98,85,7.81,overcast clouds
16,Abu Samrah,SY,35.3029,37.1841,44.56,80,0,7.38,clear sky
17,Busselton,AU,-33.65,115.3333,65.05,83,0,7.56,clear sky
18,Carnarvon,AU,-24.8667,113.6333,78.87,89,75,10.36,broken clouds
19,Margate,GB,51.3813,1.3862,49.96,74,100,10.0,overcast clouds
20,Ahuimanu,US,21.4447,-157.8378,78.46,79,40,1.01,scattered clouds
21,The Valley,AI,18.217,-63.0578,80.46,83,75,13.8,broken clouds
22,Cape Town,ZA,-33.9258,18.4232,74.88,60,0,1.01,clear sky
23,Huarmey,PE,-10.0681,-78.1522,76.98,70,12,12.26,few clouds
24,Albany,US,42.6001,-73.9662,21.31,60,5,1.01,clear sky
25,Castro,BR,-24.7911,-50.0119,75.16,81,36,8.75,scattered clouds
26,Kansanshi,ZM,-12.0951,26.4273,61.54,97,100,4.25,light rain
27,Yellowknife,CA,62.456,-114.3525,-9.58,89,75,6.91,light snow
