City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kushmurun,100,KZ,2022-02-05 17:09:20,79,52.4503,64.6311,19.27,10.54
1,Rikitea,53,PF,2022-02-05 17:08:11,73,-23.1203,-134.9692,78.62,12.82
2,Tautira,29,PF,2022-02-05 17:09:21,74,-17.7333,-149.15,78.82,15.59
3,Chuy,83,UY,2022-02-05 17:09:22,50,-33.6971,-53.4616,83.12,8.52
4,Okhotsk,0,RU,2022-02-05 17:09:22,67,59.3833,143.3,-3.98,17.07
5,Qaanaaq,89,GL,2022-02-05 17:04:30,74,77.484,-69.3632,0.0,4.36
6,Saint-Philippe,100,RE,2022-02-05 17:05:44,85,-21.3585,55.7679,83.79,20.85
7,Chemal,5,RU,2022-02-05 17:09:23,89,51.4111,86.005,6.55,5.68
8,Punta Arenas,75,CL,2022-02-05 17:09:24,59,-53.15,-70.9167,62.71,34.52
9,Vardo,100,NO,2022-02-05 17:08:08,78,70.3705,31.1107,26.55,26.98
10,Goianesia,64,BR,2022-02-05 17:09:24,58,-15.3175,-49.1175,85.41,2.86
11,Atar,0,MR,2022-02-05 17:09:25,6,20.5169,-13.0499,90.63,3.6
12,Moose Factory,46,CA,2022-02-05 17:09:25,83,51.2585,-80.6094,-5.31,5.08
13,Albany,27,US,2022-02-05 17:07:29,68,42.6001,-73.9662,20.08,5.99
14,Zhanaozen,100,KZ,2022-02-05 17:06:47,77,43.3,52.8,32.22,23.55
15,Busselton,0,AU,2022-02-05 17:09:26,70,-33.65,115.3333,68.04,2.57
16,Ranong,29,TH,2022-02-05 17:09:27,90,9.9658,98.6348,75.63,4.92
17,Dikson,96,RU,2022-02-05 17:04:33,100,73.5069,80.5464,-18.92,3.51
18,Mount Isa,40,AU,2022-02-05 17:09:27,38,-20.7333,139.5,74.97,1.14
19,Tevaitoa,13,PF,2022-02-05 17:09:28,71,-16.7833,-151.5,80.6,18.01
20,Kapaa,40,US,2022-02-05 17:08:09,78,22.0752,-159.319,64.72,5.75
21,Asau,56,RO,2022-02-05 17:09:28,95,46.4333,26.4,40.12,3.15
22,Sovetskiy,100,RU,2022-02-05 17:09:29,95,61.3614,63.5842,16.88,7.29
23,Atuona,13,PF,2022-02-05 17:09:29,74,-9.8,-139.0333,78.69,21.97
24,Rawson,0,AR,2022-02-05 17:09:30,45,-43.3002,-65.1023,62.73,11.79
25,Mount Gambier,89,AU,2022-02-05 17:09:30,75,-37.8333,140.7667,59.05,7.36
26,Khatanga,86,RU,2022-02-05 17:08:25,100,71.9667,102.5,-33.34,1.36
27,Byron Bay,85,AU,2022-02-05 17:07:47,72,-28.65,153.6167,66.06,20.18
28,Cap Malheureux,100,MU,2022-02-05 17:09:31,80,-19.9842,57.6142,80.47,8.99
29,Zhengjiatun,14,CN,2022-02-05 17:05:17,85,43.5064,123.5064,1.85,8.19
30,Lebu,0,CL,2022-02-05 17:08:08,65,-37.6167,-73.65,64.42,19.15
31,Bengkulu,100,ID,2022-02-05 17:09:33,96,-3.8004,102.2655,74.48,7.92
32,Upernavik,100,GL,2022-02-05 17:09:33,98,72.7868,-56.1549,0.43,4.56
